location,route
Neu Staßfurt,"['Warmsdorf', 'Dalena', 'Glebitzsch', 'Zaasch', 'Schenkenberg', 'Delitzsch', 'Lindenhayn', 'Hohenprießnitz', 'Niederglauba', 'Wellaune', 'Bad Düben', 'Görschlitz', 'Kossa', 'Authausen', 'Pressel', 'Wildenhain', 'Mockrehna', 'Oberaudenhain', 'Probsthain', 'Schildau', 'Sitzenroda', 'Lausa', 'Bockwitz', 'Schöna', 'Cavertitz', 'Laas', 'Schmorkau', 'Lonnewitz', 'Bornitz', 'Reppen', 'Raitzen', 'Hof/S.', 'Staucha', 'Altsattel', 'Lommatzsch', 'Großkagen', 'Löthain', 'Riemsdorf', 'Ullendorf', 'Röhrsdorf', 'Sora', 'Wilsdruff', 'Grumbach', 'fördergersdorf', 'Kurort Hartha', 'Grillenburg', 'Klingenberg', 'Obercolmnitz', 'Pretzschendorf', 'Oberbobritzsch', 'Friedersdorf/P.', 'Burkersdorf', 'Nassau', 'Clausnitz', 'Friedebach', 'Sayda', 'Dittersbach', 'Heidersdorf', 'Oberneuschöneberg', 'Olbernhau', 'Ansprung', 'Zöblitz', 'Marienberg', 'Mildenau', 'Annaberg/Erzgeb.']"
Artern,['Rehmsdorf']
Brieg,"['Hirschberg', 'Görlitz', 'Dresden', 'Pirna', 'Tetschen', 'Reichenberg', 'Aussig', 'Teplitz-Schönau', 'Komotau', 'Annaberg/Erzgeb.', 'Zwickau', 'Zeitz', 'Halle', 'Nordhausen']"
Duderstadt,"['Seesen', 'Magdeburg', 'Leipzig Hauptbahnhof', 'Dresden', 'Bodenbach', 'Lobositz', 'Theresienstadt']"
Großkoschen,"['Buchenwald', 'flossenbürg', 'Dachau']"
Großwerther,"['Herzberg am Harz', 'Braunschweig', 'Magdeburg', 'Riesa', 'Dresden', 'Prag', 'Linz', 'Mauthausen', 'Gunskirchen']"
Meuselwitz,"['Altenburg', 'Niedersteinbach', 'Penig', 'Chemnitz', 'Graslitz', 'Theresienstadt']"
Morchenstern,"['Nordhausen', 'Großwerther']"
Raguhn,['Theresienstadt']
Reichenau,"['Zittau', 'Dresden', 'flößberg', 'Buchenwald']"
Schlieben,"['Falkenberg/Elster', 'Leipzig Hauptbahnhof', 'Halle', 'Leipzig Hauptbahnhof', 'Chemnitz', 'Dresden', 'Aussig', 'Maria Ratschitz', 'Theresienstadt']"
Rehmsdorf,"['Altenburg', 'Gößnitz', 'Chemnitz', 'flöha', 'Pockau-Lengefeld', 'Marienberg', 'Reitzenhain', 'Leitmeritz', 'Theresienstadt']"
Wernigerode,"['Calbe', 'Dresden', 'Pirna', 'Leitmeritz']"
Wolfen,"['Leipzig', 'Dresden', 'Pirna', 'Auperschien']"
Auschwitz,"['Eger', 'Adorf/Erzgebirge', 'Plauen (Vogtland) Oberer Bahnhof', 'Werdau', 'Weimar', 'Buchenwald']"
Auschwitz-Monowitz,"['Gleiwitz', 'Tetschen', 'Dresden', 'Sachsenhausen']"
Auschwitz,"['Gleiwitz', 'Mährisch-Ostrau', 'Zlin', 'Ludenberg', 'Wien', 'Mauthausen', 'Regensburg', 'Nürnberg', 'Gutenfürst', 'Plauen', 'Zwickau', 'Chemnitz', 'Leipzig Hauptbahnhof', 'Halle', 'Weimar', 'Mittelbau-Dora']"
Bergen-Belsen,"['Berlin', 'Lübbenau', 'Bernsdorf/Oberlausitz', 'Ebersbach/Oberlausitz', 'Georgswalde', 'Theresienstadt']"
Bergen-Belsen,"['Berlin', 'Lübbenau', 'Senftenberg', 'Finsterwalde', 'Tröbitz/Elster']"
Buchenwald,"['Weimar', 'Zeitz', 'Meuselwitz', 'Pegau', 'Leipzig Hauptbahnhof', 'Riesa', 'Dresden', 'Heidenau', 'Bodenbach', 'Aussig', 'Leitmeritz']"
Buchenwald,"['Weimar', 'Meerane', 'Zwickau', 'Lengenfeld/V.', 'Auerbach/V.', 'Falkenstein/V.', 'Tachau', 'flossenbürg']"
Buchenwald,"['Weimar', 'Weißenfels', 'Leipzig Hauptbahnhof', 'Chemnitz', 'Komotau', 'Kaaden', 'Pilsen', 'Taus', 'Nammering', 'Dachau']"
Buchenwald,"['Weimar', 'Zeitz', 'Glauchau/Sachsen', 'Chemnitz', 'flöha', 'Reitzenhain', 'Tachau', 'flossenbürg']"
Groß-Rosen,"['Görlitz', 'Dresden', 'Aussig', 'Leitmeritz']"
Groß-Rosen,"['Görlitz', 'Dresden', 'Leipzig Hauptbahnhof', 'Hof/B.']"
Groß-Rosen,"['Hirschberg', 'Görlitz', 'Dresden', 'Leipzig Hauptbahnhof', 'Weimar', 'Nürnberg', 'Mauthausen', 'Bergen-Belsen']"
