id;location;geo_name;coordinates;wikidata;street;additional_address;geo_name_alt
352;Friedersdorf/G.;Friedersdorf;51.096,14.869;Q1417551;;(b.;Görlitz)
353;Friedersdorf;Friedersdorf;50.8444,13.5214;Q2696708;;(b.;Pretzschendorf)
260;fürstenau;Fürstenau;50.7375,13.8319;Q1483014;;(b.;Geising)
355;Fürstenwalde;Fürstenwalde;50.7608,13.8675;Q1483535;;(b.;Geising)
264;Gassen;Jasień, Lubusz Voivodeship;51.751388888889,15.0175;Q164241;;(Jasien);
266;Gassenreuth;Gassenreuth;50.3362467,12.0511470;;;;
361;Gebelzig;Gebelzig;51.223611111111,14.669444444444;Q160444;;;
362;Gebhardtsdorf;Giebułtów, Lower Silesian Voivodeship;50.97833333,15.34694444;Q654868;;(Giebultów);
269;Geising;Geising;50.758055555556,13.791111111111;Q572891;;;
364;Gelobtland;Gelobtland;50.625863,13.177621;;;;
272;Georgenberg;Georgenberg;49.70361111111111,12.419722222222223;;;(Bayern);
367;Georgswalde;Jiříkov;50.99520860538,14.569219958203;Q1641829;;(Jirikov);
368;Gera;Gera;50.87818,12.08242;;;(Thüringen);
275;Gernrode;Gernrode;51.724444444444,11.139166666667;;;(pr.;Sachsen)
276;Geroldsgrün;Geroldsgrün;50.316666666667,11.583333333333;Q502840;;(Bayern);
277;Gersdorf;Gersdorf;51.11506,12.93919;;;(b.;Hartha)
371;Gersdorf;Gersdorf;51.11506,12.93919;;;(b.;Hartlia)
278;Gerstungen;Gerstungen;50.9625,10.059722222222;;;;
372;Gerstungen;Gerstungen;50.9625,10.059722222222;;;;
380;Glashütte;Glashütte;50.85,13.783333333333;;;;
381;Glaubitz;Glaubitz;51.316666666667,13.383333333333;;;;
384;Glauchau/Sachsen;Glauchau;50.823333333333,12.544444444444;;;;
385;Glauschnitz;Glauschnitz;51.267677222222,13.847040277778;Q51248686;;;
386;Glebitzsch;Glebitzsch;51.6,12.199722222222;Q701814;;(pr.;Sachsen)
387;Gleiwitz;Gliwice;50.3011,18.6498;Q105084;;(Gliwice);
389;Gohlis;Gohlis (Zeithain);51.34638889,13.29;;;(b.;Riesa)
390;Goldenhöhe;Zlatý Kopec;50.43744,12.84497;Q27659835;;(Zlaty;Kopec)
391;Göltzschtalbrücke;Göltzschtalbrücke;50.580406,12.302871;;;;
392;Görlitz;Görlitz;51.152777777778,14.987222222222;;;(pr.;Niederschlesien)
395;Görschlitz;Görschlitz;51.578,12.6499;Q1559571;;;
396;Goslar;Goslar;51.906003,10.429163;;;(Hannover);
397;Gospersgrün;Römersgrün;50.67992,12.37185;;;OT;Römersgrün
398;Goßberg;Goßberg;50.98944444,13.20388889;;;;
399;Gößnitz;Gößnitz;50.890277777778,12.432777777778;;;(Thüringen);
400;Gottesgab;Boží Dar;50.409844098288,12.924545971721;;;(BoZi;Dar)
401;Gottesgrün;Gottesgrün;50.6725,12.3025;Q1538994;;(Thüringen);
402;Gottleuba;Bad Gottleuba;50.8514230,13.9445243;;;;
403;Gräfenwarth;Gräfenwarth;50.5303,11.7536;Q1551439;;(Thüringen);
404;Graslitz;Kraslice;50.323842588747,12.517556147716;;;(Kraslice);
406;Griesbach;Bad Griesbach im Rottal;48.45,13.2;;;(Bayern);
407;Grillenburg;Grillenburg;50.9528,13.5072;;;;
408;Grimma;Grimma;51.238611111111,12.725277777778;;;;
409;Gröba;Gröba;51.32194444,13.27638889;;;;
410;Grobau/V.;Grobau;50.4319134,11.94538951;;;;
411;Gröditz;Gröditz;51.414166666667,13.446388888889;;;;
413;Gronau;Gornau;50.758611111111,13.036944444444;;;;
